,index,SPX,TradeDate,SPY
200,200,1165.9,2010-10-19,116.73
201,201,1178.17,2010-10-20,117.87
202,202,1180.26,2010-10-21,118.13
203,203,1183.08,2010-10-22,118.34700000000001
204,204,1185.62,2010-10-25,118.7
205,205,1185.64,2010-10-26,118.72
206,206,1182.45,2010-10-27,118.38
207,207,1183.78,2010-10-28,118.4
208,208,1183.26,2010-10-29,118.49
209,209,1184.38,2010-11-01,118.53
210,210,1193.57,2010-11-02,119.475
211,211,1197.96,2010-11-03,119.95
212,212,1221.06,2010-11-04,122.26
213,213,1225.85,2010-11-05,122.725
214,214,1223.25,2010-11-08,122.49
215,215,1213.4,2010-11-09,121.61
216,216,1218.71,2010-11-10,122.1
217,217,1213.54,2010-11-11,121.635
218,218,1199.21,2010-11-12,120.198
219,219,1197.75,2010-11-15,120.03
220,220,1178.34,2010-11-16,118.16
221,221,1178.59,2010-11-17,118.21799999999999
222,222,1196.69,2010-11-18,119.9575
223,223,1199.73,2010-11-19,120.29
224,224,1197.84,2010-11-22,120.19
225,225,1180.73,2010-11-23,118.4475
226,226,1198.35,2010-11-24,120.2
227,227,1189.4,2010-11-26,119.29
228,228,1187.76,2010-11-29,119.162
229,229,1180.55,2010-11-30,118.4925
230,230,1206.07,2010-12-01,121.01
231,231,1221.53,2010-12-02,122.56
232,232,1224.71,2010-12-03,122.89
233,233,1223.12,2010-12-06,122.76
234,234,1223.75,2010-12-07,122.83
235,235,1228.28,2010-12-08,123.28
236,236,1233.0,2010-12-09,123.76
237,237,1240.4,2010-12-10,124.48
238,238,1240.46,2010-12-13,124.56
239,239,1241.59,2010-12-14,124.67
240,240,1235.23,2010-12-15,124.098
241,241,1242.87,2010-12-16,124.82
242,242,1243.91,2010-12-17,124.3
243,243,1247.08,2010-12-20,124.6
244,244,1254.6,2010-12-21,125.39
245,245,1258.84,2010-12-22,125.78
246,246,1256.77,2010-12-23,125.6
247,247,1257.54,2010-12-27,125.65
248,248,1258.51,2010-12-28,125.83
249,249,1259.78,2010-12-29,125.92
250,250,1257.88,2010-12-30,125.72
251,251,1257.64,2010-12-31,125.75
