,TradeDate,expiryDate,c_p,strike,price
338,20200110,20200113,0,340.0,14.31
339,20200110,20200113,0,341.0,15.305
340,20200110,20200113,0,342.0,16.299999999999997
341,20200110,20200113,0,343.0,17.305
342,20200110,20200113,0,344.0,18.305
343,20200110,20200113,0,345.0,19.305
344,20200110,20200115,1,265.0,60.735
345,20200110,20200115,1,270.0,55.735
346,20200110,20200115,1,275.0,50.735
347,20200110,20200115,1,280.0,45.735
348,20200110,20200115,1,285.0,40.739999999999995
349,20200110,20200115,1,290.0,35.75
350,20200110,20200115,1,294.0,31.75
351,20200110,20200115,1,295.0,30.759999999999998
352,20200110,20200115,1,296.0,29.755000000000003
353,20200110,20200115,1,297.0,28.755000000000003
354,20200110,20200115,1,298.0,27.755000000000003
355,20200110,20200115,1,299.0,26.765
356,20200110,20200115,1,300.0,25.765
357,20200110,20200115,1,301.0,24.759999999999998
358,20200110,20200115,1,302.0,23.765
359,20200110,20200115,1,303.0,22.775
360,20200110,20200115,1,304.0,21.759999999999998
361,20200110,20200115,1,305.0,20.78
362,20200110,20200115,1,306.0,19.775
363,20200110,20200115,1,307.0,18.78
364,20200110,20200115,1,308.0,17.775
365,20200110,20200115,1,309.0,16.78
366,20200110,20200115,1,310.0,15.79
367,20200110,20200115,1,311.0,14.765
368,20200110,20200115,1,312.0,13.785
369,20200110,20200115,1,313.0,12.8
370,20200110,20200115,1,314.0,11.8
371,20200110,20200115,1,315.0,10.809999999999999
372,20200110,20200115,1,315.5,10.309999999999999
373,20200110,20200115,1,316.0,9.825
374,20200110,20200115,1,316.5,9.32
375,20200110,20200115,1,317.0,8.845
376,20200110,20200115,1,317.5,8.34
377,20200110,20200115,1,318.0,7.87
378,20200110,20200115,1,318.5,7.38
379,20200110,20200115,1,319.0,6.885
380,20200110,20200115,1,319.5,6.42
381,20200110,20200115,1,320.0,5.9350000000000005
382,20200110,20200115,1,320.5,5.47
383,20200110,20200115,1,321.0,5.01
384,20200110,20200115,1,321.5,4.56
385,20200110,20200115,1,322.0,4.105
386,20200110,20200115,1,322.5,3.66
387,20200110,20200115,1,323.0,3.24
388,20200110,20200115,1,323.5,2.825
389,20200110,20200115,1,324.0,2.435
390,20200110,20200115,1,324.5,2.0599999999999996
391,20200110,20200115,1,325.0,1.7149999999999999
392,20200110,20200115,1,325.5,1.395
393,20200110,20200115,1,326.0,1.1150000000000002
394,20200110,20200115,1,326.5,0.875
395,20200110,20200115,1,327.0,0.675
396,20200110,20200115,1,327.5,0.505
397,20200110,20200115,1,328.0,0.365
398,20200110,20200115,1,328.5,0.265
399,20200110,20200115,1,329.0,0.185
400,20200110,20200115,1,329.5,0.125
401,20200110,20200115,1,330.0,0.08499999999999999
402,20200110,20200115,1,331.0,0.035
403,20200110,20200115,1,332.0,0.015
404,20200110,20200115,1,333.0,0.005
405,20200110,20200115,1,334.0,0.005
406,20200110,20200115,1,335.0,0.005
407,20200110,20200115,1,336.0,0.005
408,20200110,20200115,1,337.0,0.005
